date,count
4/27/17,3
4/26/17,3
4/25/17,1
4/24/17,2
4/22/17,1
4/20/17,2
4/19/17,1
4/14/17,1
4/13/17,1
4/12/17,1
4/11/17,2
4/10/17,2
4/8/17,3
4/7/17,1
4/6/17,2
4/5/17,1
4/4/17,2
4/3/17,2
4/1/17,1
3/31/17,6
3/30/17,1
3/29/17,5
3/28/17,2
3/27/17,2
3/24/17,1
3/23/17,3
3/22/17,2
3/20/17,4
3/19/17,1
3/18/17,4
3/17/17,7
3/16/17,6
3/15/17,7
3/14/17,3
3/13/17,5
3/12/17,3
3/11/17,2
3/10/17,6
3/9/17,6
3/8/17,6
3/7/17,24
3/6/17,7
3/5/17,1
3/4/17,3
3/3/17,8
3/2/17,1
2/28/17,1
2/27/17,3
2/26/17,4
2/25/17,2
2/24/17,6
2/23/17,18
2/22/17,34
2/21/17,14
2/20/17,21
2/19/17,15
2/16/17,3
2/15/17,2
2/14/17,2
2/13/17,6
2/12/17,8
2/11/17,3
2/9/17,5
2/8/17,9
2/7/17,5
2/6/17,7
2/4/17,3
2/3/17,5
2/2/17,3
2/1/17,4
1/31/17,8
1/30/17,6
1/29/17,3
1/28/17,6
1/27/17,11
1/26/17,18
1/25/17,43
1/24/17,8
1/23/17,2
1/22/17,1
1/21/17,4
1/20/17,16
1/19/17,26
1/18/17,18
1/17/17,20
1/16/17,13
1/15/17,1
1/14/17,2
1/13/17,4
1/12/17,4
1/11/17,12
1/10/17,26
1/9/17,9
1/8/17,4
1/7/17,4
1/6/17,5
1/5/17,20
1/4/17,9
1/3/17,11
1/2/17,4
1/1/17,3
12/30/16,1
12/29/16,2
12/28/16,4
12/26/16,4
12/25/16,7
12/24/16,2
12/23/16,3
12/21/16,3
12/20/16,7
12/18/16,2
12/17/16,4
12/16/16,3
12/15/16,6
12/14/16,1
12/13/16,1
12/11/16,4
12/10/16,4
12/9/16,1
12/8/16,10
12/7/16,22
12/6/16,15
12/5/16,16
12/4/16,5
12/3/16,5
12/2/16,7
12/1/16,4
11/30/16,11
11/29/16,7
11/28/16,6
11/27/16,2
11/26/16,1
11/25/16,3
11/24/16,4
11/23/16,3
11/22/16,4
